Name of Issuer,CUSIP,Value,Shares
Ritchie Bros,767744105,2628,109000
Rockwell Automation Inc,773903109,4874,47500
"Rollins, Inc.",775711104,7731,298500
"Ross Stores, Inc",778296103,2475,46000
Rush Enterprises Inc,781846209,328,15000
SEI Investments Co,784117103,12419,237000
Schlumberger,806857108,46174,662000
Starz Liberty Capital,85571Q102,402,12000
State Street Corp,857477103,299,4500
Synalloy Corporation,871565107,3339,485343
Synalloy Corporation,871565107,2064,300000
T.Rowe Price,74144T108,786,11000
T.Rowe Price,74144T108,19588,274000
The Carlyle Group,14309L102,6232,399000
The Travelers Companies Inc,89417E109,35551,315000
Unilever PLC ADR,904767704,65629,1522000
Union Pacific,907818108,5083,65000
United Health Group Inc,91324P102,77995,663000
United Parcel Service,911312106,76359,793500
United Technologies,913017109,5860,61000
Verisk Analytics Inc,92345Y106,3998,52000
Visa,92826C839,66034,851500
W.P. Carey,92936U109,2655,45000
W.P. Carey,92936U109,53407,905200
Walgreens Boots Alliance Inc,931427108,181806,2135000
Watsco Inc,942622200,14641,125000
Wesco Aircraft Holdings,950814103,3435,287000
