Name of Issuer,CUSIP,Value,Shares,Ratio
Electronic Arts Inc,285512109,16533,125200,0.0030798732805298284
Equifax Inc,294429105,19594,114000,0.003650095993389068
Facebook,30303M102,32925,145000,0.006133480176703841
Factset Research,303075105,38326,116680,0.007139613098021303
General Dynamics,369550108,57841,387000,0.010774992464714559
Goldman Sachs,38141G104,67745,342800,0.012619973107693293
Graham Holdings Co,384637104,1782,5200,0.0003319623895181851
Guidewire Software Inc,40171V100,1441,13000,0.000268438722388162
Healthcare Services Group,421906108,17085,698500,0.00318270338098664
Heico Corp Class A,422806208,27877,343144,0.005193106359482854
Hexcel Corp,428291108,8547,189000,0.0015921899793557397
Home Depot,437076102,230470,920000,0.04293342980485753
Illinois Tool Works,452308109,57263,327500,0.010667318917497101
Illumina Inc,452327109,1481,4000,0.0002758901789430034
InterActiveCorp,44919P508,525,1650,9.780036728229359e-05
Intl Flavors & Fragrances,459506101,13103,107000,0.002440910880952177
Investors Title Company,461804106,25878,213300,0.0048207198181546545
JP Morgan,46625H100,20444,217350,0.003808439445179448
John Deere,244199105,118774,755800,0.02212598252111836
Johnson and Johnson,478160104,85897,610800,0.01600144409228033
KKR & Co LLC,48251W104,42596,1379400,0.007935056085250624
Lamar Advertising Company,512816109,567,8500,0.00010562439666487707
Lennar Corp - B,526057302,599,13000,0.00011158556190875021
Liberty Broadband A,530307107,25080,205250,0.004672063259885568
Liberty Broadband Class C,530307305,21335,172113,0.003974420639938541
Liberty Global PLC,G5480U104,3913,179000,0.0007289387374773616
Liberty Sirius Group A,531229409,14705,426000,0.0027393417159735757
Liberty Sirius Group C,531229607,17983,522000,0.0033499885806428297
Linde PLC,G5494J103,20023,94400,0.003730012864939742
Lowes,548661107,79518,588500,0.014813123058196993
MSCI,55354G100,45734,137000,0.008519622851977934
Marsh & McLennan,571748102,65442,609500,0.012190955496548299
"Mastercard, Inc",57636Q104,61319,207370,0.01142289661215802
Maxim Integrated Products,57772K101,15274,252000,0.002845338685466195
Microchip Technology,595017104,17165,163000,0.003197606294096323
Microsoft Corp,594918104,97404,478620,0.018145041856694334
Mohawk Industries,608190104,30019,295000,0.005592131857994612
Moody's Corp,615369105,57990,211080,0.010802749140381342
NVR Inc,62944T105,30942,9495,0.0057640742179975776
Nike,654106103,35886,366000,0.006685074248175976
Norfolk Southern,655844108,40294,229500,0.0075062247605195
Novo-Nordisk A/S,670100205,70391,1075000,0.013112886958796054
Otis Elevator,68902V107,6368,112000,0.0011862718835307534
Owens-Illinois Inc,67098H104,3987,444000,0.0007427239321038182
PayPal Holdings Inc,70450Y103,319,1830,5.94253660248603e-05
Paychex,704326107,11362,150000,0.0021165862344027044
Pepsico,713448108,12644,95600,0.0023554054169853717
Philip Morris International,718172109,8022,114500,0.001494389612073446
Progressive Corp,743315103,54035,674500,0.010065986373521399
RLI Corporation,749607107,98296,1197272,0.018311209337867295
Raytheon Technologies Ord,75513E101,13802,224000,0.0025711250842480305
Rockwell  Automation Inc,773903109,30268,142100,0.0056385171750485
"Rollins, Inc.",775711104,35135,828850,0.006545173151358829
S&P Global,78409V104,48433,147000,0.009022409883015859
SEI Investments Co,784117103,21069,383200,0.0039248684538488446
Shake Shack Inc - Class A,819047101,1621,30600,0.0003019702768849484
Sherwin Williams,824348106,17913,31000,0.0033369485316718573
Starbucks Corp,855244109,38842,527818,0.0072357368875787574
Stericycle Inc,858912108,33235,593700,0.0061912289650038616
T.Rowe Price,74144T108,38779,314000,0.007224000843504882
Texas Instruments Inc,882508104,91927,724000,0.017124751167922673
The Carlyle Group,14316J108,34094,1222000,0.006351248994519081
TransUnion,89400J107,8225,94500,0.0015322057540892663
Trupanion,898202106,5690,133300,0.0010599696949261915
Twitter Inc,90184l102,253,8500,4.7130462709371955e-05
Tyson Foods,902494103,22033,369000,0.004104448556820523
Union Pacific,907818108,14434,85370,0.002688858097814525
Verisk Analytics Inc,92345Y106,12595,74000,0.002346277382705691
Visa,92826C839,184796,956650,0.03442498413771186
WR Berkley Corp,084423102,1547,27000,0.0002881850822584918
Watsco Inc,942622200,70547,397000,0.013141947639359934
Wells Fargo,949746101,5003,195450,0.0009319909285967901
Whirlpool Corp,963320106,35094,270939,0.0065375354083901166
