Name of Issuer,CUSIP,Value,Shares,Ratio
Illinois Tool Works,452308109,23957,230000,0.00631402114882135
Investors Title Company,461804106,20317,213300,0.005354675780799072
JP Morgan,46625H100,11372,183000,0.0029971636058102593
John Deere,244199105,88528,1092400,0.023332122730845114
Johnson and Johnson,478160104,74090,610800,0.019526895141969938
KKR & Co LLC,48248M102,6725,545000,0.001772416923063137
Liberty Braves Group A,531229706,641,42600,0.00016893966508304398
Liberty Braves Group C,531229888,1463,99788,0.00038558304214741555
Liberty Broadband A,530307107,5123,86250,0.0013501995385654202
Liberty Broadband Class C,530307305,10327,172113,0.002721747147133534
Liberty Global PLC,G5480U104,3429,118000,0.0009037349634473601
Liberty Global PLC Lilac,G5480U138,475,14724,0.00012518929939851154
Liberty Media Group A,531229870,2326,121500,0.000613032232423027
Liberty Media Group C,531229854,2514,132500,0.000662580839342859
Liberty Sirius Group A,531229409,13359,426000,0.0035208502119257173
Liberty Sirius Group C,531229607,16114,522000,0.004246948148437084
Linear Technology Corp,535678106,8189,176000,0.002158263521630339
Live Nation,538034109,839,35700,0.00022112383620073934
Lowes,548661107,42752,540000,0.01126756405870561
MSCI,55354G100,10565,137000,0.002784473575042683
Marriott International,571903202,97847,1472269,0.025788205006834018
Marsh & McLennan,571748102,41726,609500,0.010997155172004827
"Mastercard, Inc",57636Q104,13262,150600,0.0034952852392064423
Maxim Integrated Products,57772K101,3283,92000,0.0008652557261585545
McKesson Corp,58155Q103,1699,9100,0.0004477823572169918
Mead Johnson Nutrition,582839106,2750,30300,0.0007247801544124353
Merck,58933Y105,323,5600,8.512872359098784e-05
Microsoft Corp,594918104,8187,160000,0.0021577364087907664
Monsanto Co,61166W101,41023,396700,0.010811875008895029
Moody's Corp,615369105,27176,290000,0.007162409264113578
National Oilwell,637071101,20526,610000,0.005409759072534417
Nike,654106103,17664,320000,0.004655460599105911
Norfolk Southern,655844108,19537,229500,0.005149101773365726
Novartis AG-Sponsored ADR,66987V109,305,3700,8.038470803483372e-05
Novo-Nordisk A/S,670100205,57813,1075000,0.01523698729710768
Oaktree Capital Group LLC,674001201,28848,644500,0.007603075597996339
Oracle Corp,68389X105,26113,638000,0.006882248789880699
Paccar,693718108,6136,118300,0.0016171821918089828
Parker-Hannifin Corp,701094104,6159,57000,0.0016232439894640685
Patterson Companies Inc.,703395103,8046,168000,0.0021205749536008923
Paychex,704326107,8925,150000,0.0023522410465930854
Penske Automotive Group,70959W103,975,31000,0.00025696750929168156
Pepsico,713448108,15372,145100,0.00405138928495562
Philip Morris International,718172109,11647,114500,0.003069641621251503
Praxair Inc.,74005P104,2562,22800,0.0006752315474926033
Priceline Group Inc,741503403,250,200,6.588910494658502e-05
RLI Corporation,749607107,82348,1197272,0.021703344056565533
Ritchie Bros,767744105,3682,109000,0.0009704147376533042
Rockwell  Automation Inc,773903109,6751,58800,0.001779269389977582
"Rollins, Inc.",775711104,9592,327700,0.002528033178590574
S&P Global,78409V104,15767,147000,0.004155494070771224
SEI Investments Co,784117103,11874,246800,0.0031294689285430023
Schlumberger,806857108,52390,662500,0.013807720832606356
Stericycle Inc,858912108,729,7000,0.00019213263002424192
Synalloy Corporation,871565107,3177,414804,0.0008373187456612025
T.Rowe Price,74144T108,20797,285000,0.005481182862296515
Texas Instruments Inc,882508104,14096,225000,0.00371509129330825
The Carlyle Group,14309L102,6671,411000,0.0017581848763946746
The Travelers Companies Inc,89417E109,37498,315000,0.009882838629148181
Unilever PLC ADR,904767704,73187,1527600,0.01928890369490287
Union Pacific,907818108,7381,84600,0.0019453099344429762
United Health Group Inc,91324P102,93616,663000,0.02467309779471801
United Technologies,913017109,8963,87400,0.002362256190544966
VF Corp,918204108,941,15300,0.000248006591018946
Verisk Analytics Inc,92345Y106,4216,52000,0.0011111538658192099
Visa,92826C839,63912,861700,0.016844417901384568
W.P. Carey,92936U109,65963,950200,0.01738497211836635
Walgreens Boots Alliance Inc,931427108,177781,2135000,0.046855323866035324
Watsco Inc,942622200,21174,150500,0.0055805436325559645
