Name of Issuer,CUSIP,Value,Shares,Ratio
Patterson Companies Inc.,703395103,8125,167000,0.0020289461316674914
Paychex,704326107,7032,150000,0.0017560060551244062
Pepsico,713448108,12536,134300,0.003130445379271837
Philip Morris International,718172109,9179,114500,0.0022921472667785728
Procter & Gamble,742718109,9936,127000,0.0024811826171382396
RLI Corporation,749607107,61528,1197272,0.015364553549444606
Rent-A-Center,76009N100,6691,236000,0.0016708527467061151
Ritchie Bros,767744105,2987,107000,0.0007459030271127136
Rockwell  Automation Inc,773903109,2244,18000,0.0005603637070106894
"Rollins, Inc.",775711104,6847,240000,0.001709808512434131
"Ross Stores, Inc",778296103,2236,46000,0.0005583659754348937
Rush Enterprises Inc,781846209,393,15000,9.813856366096297e-05
SEI Investments Co,784117103,11620,237000,0.002901705113843231
Schlumberger,806857108,53610,622000,0.013387298722300827
Starz Liberty Capital,85571Q102,537,12000,0.0001340977320252853
Synalloy Corporation,871565107,10759,785343,0.0026866992529982203
T.Rowe Price,74144T108,19743,254000,0.004930151812616774
The Carlyle Group,14309L102,10556,375000,0.002636006814262405
The Travelers Companies Inc,89417e109,26098,270000,0.00651709983313947
Unilever PLC ADR,904767704,63237,1472000,0.01579131895732396
United Health Group Inc,91324P102,80886,663000,0.02019856452997621
United Parcel Service,911312106,73216,755500,0.0182832393816821
United Technologies,913017109,5879,53000,0.0014680829917628534
Verisk Analytics Inc,92345Y106,2328,32000,0.000581339888556544
Visa,92826C839,54996,819000,0.01373340571780743
W.P. Carey,92936U109,56004,950200,0.013985119896357687
Wal-Mart Stores,931142103,77881,1098000,0.01944816660681796
Walgreens Boots Alliance Inc,931427108,180279,2135000,0.045018631344108766
Watsco Inc,942622200,11508,93000,0.0028737368717820914
Wesco Aircraft Holdings,950814103,3712,245000,0.0009269474511691974
