Name of Issuer,CUSIP,Value,Shares,Ratio
Liberty Media,531229102,15217,426000,0.0040087757335372015
Liberty Media Corp Cl C,531229300,17781,516000,0.004684237452718997
Lowes,548661107,37216,540000,0.009804205671244034
MSCI,55354g100,8146,137000,0.0021459871936251587
Marriott International,571903202,97040,1422869,0.025564276610530987
Marsh & McLennan,571748102,29191,559000,0.007690094791199608
"Mastercard, Inc",57636Q104,11625,129000,0.0030624970692232347
Mattel,577081102,12299,584000,0.003240056039086156
McDonalds,580135101,17834,181000,0.004698199804948574
McGraw Hill Financial,580645109,12715,147000,0.0033496473320579296
Monsanto Co,61166W101,21250,249000,0.005598112922236021
Moody's Corp,615369105,28478,290000,0.007502261637620584
National Oilwell,637071101,22966,610000,0.006050177005744586
Nike,654106103,19675,160000,0.005183193964470292
Norfolk Southern,655844108,11613,152000,0.003059335781925972
Novo-Nordisk A/S,670100205,58308,1075000,0.01536069497739943
Now Inc,67011P100,1754,118500,0.00046207482661656375
Oaktree Capital Group LLC,674001201,22498,454500,0.005926886801151341
Oracle Corp,68389x105,23045,638000,0.006070988813784898
Paccar,693718108,3391,65000,0.0008933271020848163
Parker-Hannifin Corp,701094104,2919,30000,0.0007689831350591503
Patterson Companies Inc.,703395103,7266,168000,0.0019141594584925613
Paychex,704326107,7144,150000,0.0018820197043037238
Pepsico,713448108,13136,139300,0.003460555828070229
Philip Morris International,718172109,9083,114500,0.002392831043419754
Procter & Gamble,742718109,9136,127000,0.002406793395649331
RLI Corporation,749607107,64090,1197272,0.01688390857346384
Rent-A-Center,76009N100,5771,238000,0.0015203157493752506
Ritchie Bros,767744105,2821,109000,0.0007431659554648383
Rockwell  Automation Inc,773903109,3653,36000,0.000962348541408385
"Rollins, Inc.",775711104,7416,276000,0.001953675549708345
"Ross Stores, Inc",778296103,2230,46000,0.0005874725560746506
Rush Enterprises Inc,781846209,363,15000,9.562894074219649e-05
SEI Investments Co,784117103,11431,237000,0.0030113895912508215
Schlumberger,806857108,44968,652000,0.011846397265275735
Starz Liberty Capital,85571Q102,448,12000,0.00011802139243114058
Synalloy Corporation,871565107,7100,785343,0.001870428317547094
T.Rowe Price,74144T108,19390,279000,0.005108113391160303
The Carlyle Group,14309L102,6703,399000,0.0017658423961293198
The Travelers Companies Inc,89417e109,30158,303000,0.007944841859237361
Unilever PLC ADR,904767704,61048,1497000,0.016082522243607747
United Health Group Inc,91324P102,76915,663000,0.020262534372413342
United Parcel Service,911312106,75745,767500,0.01995430886093023
United Technologies,913017109,4716,53000,0.0012423859078242387
Verisk Analytics Inc,92345Y106,3252,44000,0.0008567088575581901
Visa,92826C839,58096,834000,0.015304845568481123
W.P. Carey,92936U109,54931,950200,0.014471056043828086
Wal-Mart Stores,931142103,71194,1098000,0.018755390653443352
Walgreens Boots Alliance Inc,931427108,177418,2135000,0.04673910580881272
Watsco Inc,942622200,12914,109000,0.0034020720130708694
Wesco Aircraft Holdings,950814103,3501,287000,0.000922305568976391
